Sample,periodicity_autocorrelation,periodicity_fourier,periodicity_information,uniformity_autocorrelation,uniformity_entropy,uniformity_theil_index,uniformity_gini_index,ratio_cds:leader,ratio_cds:trailer,ratio_leader:trailer,prop_reads_CDS,prop_reads_leader,prop_reads_trailer,periodicity_trips-viz,periodicity_dominance
SRR15324735,0.0,0.311745835741365,0.203273161846404,0.0,0.7038572499448122,0.0315778588799251,0.0,7.823580811464189,6.084377194373344,0.7776972387704714,0.7731482680339401,0.0988539877371221,0.1270770213463845,0.2400666426512968,0.4417990260050291
SRR15324736,1.7684781273697456,0.3272447144785163,0.2107866485493552,0.8963715268714543,0.6998022526692533,0.0314547591672831,0.925,8.003585334198572,6.342611401095369,0.7924712658455684,0.7788247768508715,0.0974203534726375,0.12278132884379,0.2102833001988071,0.4398737221362296
SRR15324737,1.6713076530341342,0.3185685676458482,0.2223744650946452,0.907860772266957,0.7075310480916873,0.0323273986010318,0.6,6.916866056767534,3.732481012658228,0.539620253164557,0.7072013332140722,0.103427659484321,0.1885189177992552,0.2607366795853421,0.4619684277178145
SRR15324738,1.626491700644943,0.3446600964403061,0.2377615090964981,0.8372455723382315,0.6972926368718914,0.032108887370005,0.885,6.610353664787288,3.741022219643789,0.5659337471717817,0.7041435534471716,0.106916054234197,0.1880828059358004,0.2399143810767667,0.4544165650037917
SRR15513178,0.0,0.3328470944045909,0.2658634282363405,0.0,0.7100235745925061,0.0330361659868497,0.0,24.79975172413793,8.81113212910055,0.3552911427143263,0.8657138331151388,0.0349093573910644,0.0982530154418162,0.2013262087169253,0.4579323145791286
SRR1562539,0.0,0.2746964877779163,0.1600369985859039,0.0,0.7102622911919821,0.0317060837097105,0.0,21.219877343898403,10.788567321130714,0.5084179868849654,0.87670296344256,0.0413218192672816,0.0812618384947629,0.1619255617440618,0.4127448724603094
SRR1585486,0.0,0.2755994048824374,0.205418716201178,0.0,0.7109547903103424,0.0316844049251982,0.0,16.934037264528854,9.652486504841864,0.570005035069847,0.8591039363021479,0.0507321292716225,0.0890029493606244,0.2647635955896094,0.4484397062259379
SRR1585487,0.0,0.2663223865840847,0.1911231795425315,0.0,0.7103186936840477,0.0315503313708157,0.0,16.32428043049028,7.050312637371876,0.4318911738494392,0.8303850435771608,0.0508680774132948,0.1177812640135123,0.2456033496980828,0.440059101525443
SRR1585488,0.0,0.2900536931033634,0.2500753396872052,0.0,0.7106054484753566,0.0317630409770759,0.0,15.77218349976543,8.877700759183288,0.5628707502239827,0.8493661217914159,0.0538529175180107,0.0956765630857807,0.356001345975671,0.4828614274307304
SRR1585489,0.0,0.2777048829511336,0.2164201537916159,0.0,0.7097011695018792,0.0315960669552111,0.0,19.003387093943594,8.308768914397962,0.4372256836806727,0.8516235502611103,0.04481423418133,0.1024983746146263,0.2591192731027881,0.4490264532163164
